c.type,count(c.type)
OGÓLNOKRAJOWE ZRZESZENIE MIĘDZYBRANŻOWE,9
ZWIĄZEK ZAWODOWY,6950
SPÓŁKA KOMANDYTOWO-AKCYJNA,5746
INSTYTUT BADAWCZY,118
POLSKI ZWIĄZEK SPORTOWY,73
TOWARZYSTWO UBEZPIECZEŃ WZAJEMNYCH,11
SPÓŁKA AKCYJNA,9654
STOWARZYSZENIE,77755
SPÓŁDZIELCZA KASA OSZCZĘDNOŚCIOWO-KREDYTOWA,52
"ZWIĄZKI ROLNIKÓW, KÓŁEK I ORGANIZACJI ROLNICZYCH",324
INNA OSOBA PRAWNA BĘDĄCA ORGANIZACJĄ POŻYTKU PUBLICZNEGO,398
OGÓLNOKRAJOWA REPREZENTACJA ZRZESZEŃ TRANSPORTU,1
INSTYTUCJA GOSPODARKI BUDŻETOWEJ,16
OGÓLNOKRAJOWY ZWIĄZEK MIĘDZYBRANŻOWY,22
CECH RZEMIEŚLNICZY,518
FEDERACJA / KONFEDERACJA ZWIĄZKÓW PRACODAWCÓW,18
ZWIĄZEK PRACODAWCÓW,458
ZWIĄZEK ZAWODOWY ROLNIKÓW INDYWIDUALNYCH,15
KOŚCIELNA OSOBA PRAWNA BĘDĄCA ORGANIZACJĄ POŻYTKU PUBLICZNEGO,54
FUNDACJA,26577
ZRZESZENIE TRANSPORTU,50
ZWIĄZEK STOWARZYSZEŃ,597
ROLNICZE ZRZESZENIE BRANŻOWE,437
SAMODZIELNY PUBLICZNY ZAKŁAD OPIEKI ZDROWOTNEJ,1388
KOLUMNA TRANSPORTU SANITARNEGO,1
IZBA RZEMIEŚLNICZA,40
STOWARZYSZENIE OGRODOWE,61
ZWIĄZEK SPORTOWY,605
ZWIĄZEK RZEMIOSŁA POLSKIEGO,1
ODDZIAŁ ZAGRANICZNEGO PRZEDSIĘBIORCY,2962
SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,400008
SPÓŁDZIELNIA,12081
ZRZESZENIE HANDLU I USŁUG,62
NIE POSIADAJĄCA OSOBOWOŚCI PRAWNEJ ORGANIZACJA POŻYTKU PUBLICZNEGO,22
KÓŁKO ROLNICZE,3717
STOWARZYSZENIE KULTURY FIZYCZNEJ O ZASIĘGU OGÓLNOKRAJOWYM,178
JEDNOSTKA BADAWCZO-ROZWOJOWA,8
SPÓŁKA KOMANDYTOWA,36152
JEDNOSTKA TERENOWA STOWARZYSZENIA POSIADAJĄCA OSOBOWOŚĆ PRAWNĄ,30
JEDNOSTKA ORGANIZACYJNA ZWIĄZKU ZAWODOWEGO POSIADAJĄCA OSOBOWOŚĆ PRAWNĄ,5
STOWARZYSZENIE KULTURY FIZYCZNEJ,5322
IZBA GOSPODARCZA,412
SPÓŁKA EUROPEJSKA,12
SPÓŁKA JAWNA,37621
NIE POSIADAJĄCA OSOBOWOŚCI PRAWNEJ INSTYTUCJA KOŚCIELNA BĘDĄCA ORGANIZACJĄ POŻYTKU PUBLICZNEGO,51
PRZEDSIĘBIORSTWO PAŃSTWOWE,76
ZWIĄZEK ROLNICZYCH ZRZESZEŃ BRANŻOWYCH,51
