partition,size_of_partition
1046378,902112
638968,317
1061614,223
1824091,192
575367,176
1182037,153
1299716,147
1049237,141
1299393,136
1153762,130
1358483,128
1058125,127
1078814,120
1160242,120
1050253,120
1223498,119
1092333,116
1128040,112
1167578,111
1057552,110
1083741,106
1041995,105
1318891,104
1378877,100
1131197,98
1100987,96
1126583,96
1183197,96
1053168,95
1108000,94
1365360,93
1291111,92
1085381,90
1353730,90
1132032,89
1069253,89
1241088,86
1240130,85
1131099,84
1180925,84
1351778,84
1181515,82
1276104,80
1246676,80
1104750,80
1219422,80
1249740,79
1145490,79
1258918,78
1127171,78
1130388,78
1160323,77
1057062,77
1186627,77
1343242,77
1117892,76
1361195,76
1045571,75
1129461,75
1239048,74
1334989,74
1050820,74
1065375,73
1191203,73
1209654,73
1046079,72
1289598,72
1093862,72
1353293,71
1146425,71
1042606,71
1167332,71
1379437,71
1121149,70
1132178,70
1227127,70
1298901,70
1053337,69
1098474,69
1249922,68
1313613,68
1118553,68
1295609,68
921519,68
1055163,68
1380796,68
1192426,68
1152540,68
1141639,68
1314819,67
1366553,67
1058777,67
1153181,67
1134546,67
1191804,67
1316934,67
1055632,67
1267020,67
1247685,66
1262772,66
1103706,66
952838,65
676088,65
1161478,64
1166696,64
1258214,64
1069559,64
1051358,63
1104001,63
1062781,63
1148653,63
1189731,63
1117717,63
1263428,62
1333345,62
1175497,62
1191541,62
1048652,62
1101831,62
1170257,61
1225595,61
668467,60
1352366,60
1095140,60
1066097,60
1131970,59
1217052,59
1165751,59
1352131,59
1134112,59
1368501,59
1082736,59
1239578,58
1311801,58
1119803,58
1163346,58
1176777,58
1200911,58
1059532,58
1121826,58
1056915,58
1297076,58
1096361,57
1117081,57
1322584,57
1169880,57
1128771,57
1275442,57
1358898,57
1283077,57
1181596,56
1138630,56
1215482,56
1351399,56
1317482,56
1158458,56
1219386,56
1222511,56
1374329,55
1178653,55
1352629,55
1065596,55
1075387,55
1111519,55
1142648,55
1130458,55
1084456,55
1118998,55
1119730,55
1145150,55
1336322,55
1043044,54
1094007,54
1076700,54
